0.000000000000000000e+00,9.868863856980479854e-01,1.952680165353157360e+00,2.901787950460100074e+00,3.838993256555354616e+00,4.771460724107431162e+00,5.698599698831267268e+00,6.626989767630281136e+00,7.560438158914046802e+00,8.502354954747637805e+00,9.455661961230147128e+00
1.000000000000000021e-03,9.848014323432086048e-01,1.948562291715693728e+00,2.896117680175382514e+00,3.832283565239596346e+00,4.761705096655701297e+00,5.688779736265701992e+00,6.617610837775234067e+00,7.551962347134386633e+00,8.495195152171827857e+00,9.450172841070662244e+00
2.000000000000000042e-03,9.820119757452611120e-01,1.943559791758132649e+00,2.889488166601681840e+00,3.824598478318760986e+00,4.753509111036708923e+00,5.680584253614114232e+00,6.609888933567264147e+00,7.545142378006492123e+00,8.489651185267248934e+00,9.446210898831242986e+00
3.000000000000000062e-03,9.792822527413648226e-01,1.938681534450879429e+00,2.883048362938221310e+00,3.817167522172951521e+00,4.745629563806800455e+00,5.672764682374886291e+00,6.602598805992092146e+00,7.538805346090042825e+00,8.484635014165522904e+00,9.442813140466183697e+00
4.000000000000000083e-03,9.766008358574450599e-01,1.933907321360511355e+00,2.876771906039977456e+00,3.809960614858876937e+00,4.738034907735737100e+00,5.665290071894828472e+00,6.595711975343255595e+00,7.532926918805669558e+00,8.480127895406322835e+00,9.439967554822128903e+00
5.000000000000000104e-03,9.740133564143824696e-01,1.929316533847311499e+00,2.870761349182280764e+00,3.803094088119874261e+00,4.730846803474231699e+00,5.658279661836694174e+00,6.589338025236048502e+00,7.527600219161983297e+00,8.476200169385290195e+00,9.437716082436288900e+00
6.000000000000000125e-03,9.714697301348210745e-01,1.924821548614465305e+00,2.864903080510096345e+00,3.796438801600980906e+00,4.723930067232529950e+00,5.651600904758875110e+00,6.583355052352283465e+00,7.522721363701816877e+00,8.472772622814330745e+00,9.436009851790100100e+00
7.000000000000000146e-03,9.689911816852326831e-01,1.920459190627687551e+00,2.859244594792601291e+00,3.790048578175339244e+00,4.717340952665212583e+00,5.645308896826709777e+00,6.577813614454426805e+00,7.518333147406359274e+00,8.469877237818598914e+00,9.434867262283157530e+00
8.000000000000000167e-03,9.665724386811812563e-01,1.916220183073262806e+00,2.853773911687430331e+00,3.783909983067174743e+00,4.711065728340209979e+00,5.639390656604163610e+00,6.572702398758369924e+00,7.514426693464795193e+00,8.467508156810080067e+00,9.434285836361134159e+00
9.000000000000001055e-03,9.642377402668808051e-01,1.912146049919916546e+00,2.848543720774089572e+00,3.778081431254203704e+00,4.705163597546156318e+00,5.633901593190897117e+00,6.568068697602675421e+00,7.511037095500600280e+00,8.465684511659732792e+00,9.434265496679133278e+00
1.000000000000000021e-02,9.619583931986568359e-01,1.908187242770966963e+00,2.843490821992848971e+00,3.772492622644097349e+00,4.699563135280445891e+00,5.628774640885064073e+00,6.563854844247429376e+00,7.508120655941392663e+00,8.464380557584304299e+00,9.434801631083075790e+00
1.099999999999999936e-02,9.597480867579826214e-01,1.904367152975739996e+00,2.838644844185494343e+00,3.767176359764527582e+00,4.694297533138912293e+00,5.624040775442395557e+00,6.560087108492195895e+00,7.505696544995416275e+00,8.463606111269701415e+00,9.435892709399560374e+00
1.200000000000000025e-02,9.576030508126802676e-01,1.900679238721584063e+00,2.833997492728219214e+00,3.762123567225233778e+00,4.689357825200919372e+00,5.619691926502312640e+00,6.556758975817329471e+00,7.503760312206667393e+00,8.463359112745543200e+00,9.437539181400198984e+00
